codigo;descrição;NCM
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03031200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03031300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03031400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03031900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03032300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03032410
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03032490
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03032500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03032600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03032900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03033100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03033200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03033300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03033400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03033900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03034900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035700
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035920
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03035990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036700
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036800
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03036990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038111
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038112
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038113
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038114
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038119
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038190
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038311
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038319
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038321
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038329
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038920
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038932
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038933
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038941
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038942
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038943
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038944
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038945
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038946
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038951
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038952
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038953
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038954
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038955
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038956
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038961
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038962
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038963
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038964
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038965
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03038990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03039110
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03039190
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03039200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03039910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03039920
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03039990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03043100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03043210
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03043290
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03043300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03043900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044700
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044800
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044920
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03044990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045700
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03045900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03046100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03046210
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03046290
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03046300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03046900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03047100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03047200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03047300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03047400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03047500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03047900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048510
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048520
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03048700
